urea_concentration (mM),wavelength (nm),absorbance (A),stdev.p,solvent,background,date,n_replicates
0.5,190,0.553,0.002,water,water,44482,2
0.5,191,0.457,0.002,water,water,44482,2
0.5,192,0.3645,0.0025,water,water,44482,2
0.5,193,0.2865,0.0025,water,water,44482,2
0.5,194,0.232,0.002,water,water,44482,2
0.5,195,0.1785,0.0025,water,water,44482,2
0.5,196,0.1345,0.0035,water,water,44482,2
0.5,197,0.1045,0.0025,water,water,44482,2
0.5,198,0.0805,0.0025,water,water,44482,2
0.5,199,0.061,0.002,water,water,44482,2
0.5,200,0.0465,0.0025,water,water,44482,2
0.5,201,0.036,0.002,water,water,44482,2
0.5,202,0.0275,0.0015,water,water,44482,2
0.5,203,0.0225,0.0015,water,water,44482,2
0.5,204,0.0195,0.0015,water,water,44482,2
0.5,205,0.016,0.001,water,water,44482,2
0.5,206,0.0135,0.0015,water,water,44482,2
0.5,207,0.012,0.001,water,water,44482,2
0.5,208,0.011,0.001,water,water,44482,2
0.5,209,0.0105,0.0015,water,water,44482,2
0.5,210,0.0095,0.0015,water,water,44482,2
0.5,211,0.0085,0.0015,water,water,44482,2
0.5,212,0.008,0.001,water,water,44482,2
0.5,213,0.008,0.001,water,water,44482,2
0.5,214,0.007,0.001,water,water,44482,2
0.5,215,0.007,0.001,water,water,44482,2
0.5,216,0.007,0.001,water,water,44482,2
0.5,217,0.007,0.001,water,water,44482,2
0.5,218,0.006,0.001,water,water,44482,2
0.5,219,0.006,0.001,water,water,44482,2
0.5,220,0.006,0.001,water,water,44482,2
0.5,221,0.006,0.001,water,water,44482,2
0.5,222,0.006,0.001,water,water,44482,2
0.5,223,0.0055,0.0005,water,water,44482,2
0.5,224,0.0055,0.0005,water,water,44482,2
0.5,225,0.005,0.001,water,water,44482,2
0.5,226,0.005,0.001,water,water,44482,2
0.5,227,0.0055,0.0005,water,water,44482,2
0.5,228,0.005,0.001,water,water,44482,2
0.5,229,0.005,0.001,water,water,44482,2
0.5,230,0.005,0.001,water,water,44482,2
0.5,231,0.005,0.001,water,water,44482,2
0.5,232,0.0045,0.0005,water,water,44482,2
0.5,233,0.005,0,water,water,44482,2
0.5,234,0.0045,0.0005,water,water,44482,2
0.5,235,0.0045,0.0005,water,water,44482,2
0.5,236,0.0045,0.0005,water,water,44482,2
0.5,237,0.0045,0.0005,water,water,44482,2
0.5,238,0.0045,0.0005,water,water,44482,2
0.5,239,0.0045,0.0005,water,water,44482,2
0.5,240,0.004,0,water,water,44482,2
0.5,241,0.0045,0.0005,water,water,44482,2
0.5,242,0.004,0,water,water,44482,2
0.5,243,0.004,0,water,water,44482,2
0.5,244,0.004,0,water,water,44482,2
0.5,245,0.004,0,water,water,44482,2
0.5,246,0.004,0,water,water,44482,2
0.5,247,0.0035,0.0005,water,water,44482,2
0.5,248,0.0035,0.0005,water,water,44482,2
0.5,249,0.0035,0.0005,water,water,44482,2
0.5,250,0.003,0,water,water,44482,2
0.5,251,0.0035,0.0005,water,water,44482,2
0.5,252,0.003,0,water,water,44482,2
0.5,253,0.0025,0.0005,water,water,44482,2
0.5,254,0.0025,0.0005,water,water,44482,2
0.5,255,0.0025,0.0005,water,water,44482,2
0.5,256,0.0025,0.0005,water,water,44482,2
0.5,257,0.0015,0.0005,water,water,44482,2
0.5,258,0.0015,0.0005,water,water,44482,2
0.5,259,0.0025,0.0005,water,water,44482,2
0.5,260,0.002,0,water,water,44482,2
0.5,261,0.002,0,water,water,44482,2
0.5,262,0.0015,0.0005,water,water,44482,2
0.5,263,0.0015,0.0005,water,water,44482,2
0.5,264,0.0015,0.0005,water,water,44482,2
0.5,265,0.0015,0.0005,water,water,44482,2
0.5,266,0.0015,0.0005,water,water,44482,2
0.5,267,0.0015,0.0005,water,water,44482,2
0.5,268,0.0015,0.0005,water,water,44482,2
0.5,269,0.001,0,water,water,44482,2
0.5,270,0.001,0,water,water,44482,2
0.5,271,0.001,0,water,water,44482,2
0.5,272,0.001,0,water,water,44482,2
0.5,273,0.001,0,water,water,44482,2
0.5,274,0.001,0,water,water,44482,2
0.5,275,0.001,0,water,water,44482,2
0.5,276,0.001,0,water,water,44482,2
0.5,277,0.001,0,water,water,44482,2
0.5,278,0.001,0,water,water,44482,2
0.5,279,0.001,0,water,water,44482,2
0.5,280,0.001,0,water,water,44482,2
0.5,281,0.001,0,water,water,44482,2
0.5,282,0.001,0,water,water,44482,2
0.5,283,0.0005,0.0005,water,water,44482,2
0.5,284,0.0005,0.0005,water,water,44482,2
0.5,285,0.0005,0.0005,water,water,44482,2
0.5,286,0.0005,0.0005,water,water,44482,2
0.5,287,0.0005,0.0005,water,water,44482,2
0.5,288,0.0005,0.0005,water,water,44482,2
0.5,289,0.0005,0.0005,water,water,44482,2
0.5,290,0.0005,0.0005,water,water,44482,2
0.5,291,0.0005,0.0005,water,water,44482,2
0.5,292,0.0005,0.0005,water,water,44482,2
0.5,293,0.0005,0.0005,water,water,44482,2
0.5,294,0,0,water,water,44482,2
0.5,295,0.0005,0.0005,water,water,44482,2
0.5,296,0.0005,0.0005,water,water,44482,2
0.5,297,0.0005,0.0005,water,water,44482,2
0.5,298,0.0005,0.0005,water,water,44482,2
0.5,299,0.0005,0.0005,water,water,44482,2
0.5,300,0.0005,0.0005,water,water,44482,2
4,190,1.8065,0.0055,water,water,44482,2
4,191,1.8765,0.0075,water,water,44482,2
4,192,1.8795,0.0145,water,water,44482,2
4,193,1.7275,0.0145,water,water,44482,2
4,194,1.4665,0.0195,water,water,44482,2
4,195,1.1805,0.0185,water,water,44482,2
4,196,0.9105,0.0165,water,water,44482,2
4,197,0.706,0.019,water,water,44482,2
4,198,0.5405,0.0195,water,water,44482,2
4,199,0.401,0.02,water,water,44482,2
4,200,0.296,0.02,water,water,44482,2
4,201,0.2185,0.0185,water,water,44482,2
4,202,0.165,0.019,water,water,44482,2
4,203,0.1285,0.0185,water,water,44482,2
4,204,0.1005,0.0175,water,water,44482,2
4,205,0.0795,0.0175,water,water,44482,2
4,206,0.066,0.017,water,water,44482,2
4,207,0.056,0.017,water,water,44482,2
4,208,0.0475,0.0165,water,water,44482,2
4,209,0.0415,0.0165,water,water,44482,2
4,210,0.038,0.016,water,water,44482,2
